
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000256                       # Number of seconds simulated (Second)
simTicks                                    255587000                       # Number of ticks simulated (Tick)
finalTick                                   255587000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.25                       # Real time elapsed on the host (Second)
hostTickRate                                 60202428                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     711428                       # Number of bytes of host memory used (Byte)
simInsts                                       101137                       # Number of instructions simulated (Count)
simOps                                         185642                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    23822                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      43726                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           255588                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.527146                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.395703                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          277578                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      122                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         246669                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    417                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                92052                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            182761                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  44                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              194650                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.267244                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.104290                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    125872     64.67%     64.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     13662      7.02%     71.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     11600      5.96%     77.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     11445      5.88%     83.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      9194      4.72%     88.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      8417      4.32%     92.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7251      3.73%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4567      2.35%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2642      1.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                194650                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2980     72.15%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.15% # attempts to use FU when none available (Count)
